,Team,Decimal
0,Arsenal,3.6979
1,Arsenal,4.3061
2,Arsenal,5.1212
3,Arsenal,5.2727
4,Arsenal,5.3434
5,Arsenal,7.08
6,Arsenal,7.99
7,Arsenal,8.2233
8,Arsenal,8.4951
9,Arsenal,8.6117
10,Arsenal,9.1818
11,Arsenal,9.0505
12,Arsenal,10.5882
13,Arsenal,12.6
14,Arsenal,12.7
15,Arsenal,13.1287
16,Arsenal,13.5842
17,Arsenal,14.4608
18,Arsenal,15.2143
19,Arsenal,15.2755
20,Arsenal,15.6735
21,Arsenal,16.5052
22,Arsenal,16.9072
23,Arsenal,17.1649
24,Arsenal,17.2887
25,Arsenal,17.433
26,Arsenal,17.9072
27,Arsenal,18.4583
28,Arsenal,18.0625
29,Arsenal,18.7292
30,Arsenal,18.9062
31,Arsenal,18.9792
32,Arsenal,19.3069
33,Arsenal,21.25
34,Arsenal,22.52
35,Arsenal,22.83
36,Arsenal,23.8416
37,Arsenal,23.9703
38,Arsenal,24.303
39,Arsenal,24.0505
40,Arsenal,24.5455
41,Arsenal,25.1122
42,Arsenal,25.6224
43,Arsenal,27.3
44,Arsenal,29.9223
45,Arsenal,31.1327
46,Arsenal,31.2755
47,Arsenal,31.602
48,Arsenal,31.9592
49,Arsenal,32.0297
50,Arsenal,32.3168
51,Arsenal,32.7525
52,Arsenal,33.3878
53,Arsenal,33.5714
54,Arsenal,34.101
55,Arsenal,34.0505
56,Arsenal,37.2755
57,Arsenal,37.3163
58,Arsenal,37.6122
59,Arsenal,37.6429
60,Arsenal,37.8776
61,Aston Villa,0.9901
62,Aston Villa,0.7228
63,Aston Villa,1.4706
64,Aston Villa,1.6569
65,Aston Villa,2.1287
66,Aston Villa,4.7113
67,Aston Villa,4.7423
68,Aston Villa,4.8041
69,Aston Villa,5.9208
70,Aston Villa,6.7113
71,Aston Villa,7.5149
72,Aston Villa,7.7129
73,Aston Villa,8.8641
74,Aston Villa,9.3469
75,Aston Villa,11.8878
76,Aston Villa,11.9388
77,Aston Villa,12.1485
78,Aston Villa,12.8911
79,Aston Villa,13.5102
80,Aston Villa,14.1717
81,Aston Villa,14.5859
82,Aston Villa,16.34
83,Aston Villa,16.92
84,Aston Villa,17.2887
85,Aston Villa,18.1616
86,Aston Villa,19.8039
87,Aston Villa,19.8431
88,Aston Villa,20.4752
89,Aston Villa,21.2913
90,Aston Villa,21.3689
91,Aston Villa,21.4175
92,Aston Villa,24.1753
93,Aston Villa,24.732
94,Aston Villa,25.4583
95,Aston Villa,25.5625
96,Aston Villa,25.5833
97,Aston Villa,25.0938
98,Aston Villa,26.2245
99,Aston Villa,26.6837
100,Aston Villa,26.7653
101,Aston Villa,27.9238
102,Aston Villa,29.9109
103,Aston Villa,32.4059
104,Aston Villa,32.9703
105,Aston Villa,33.3263
106,Aston Villa,33.5684
107,Aston Villa,33.0737
108,Aston Villa,34.03
109,Aston Villa,35.7245
110,Aston Villa,36.5051
111,Aston Villa,37.3737
112,Aston Villa,37.7374
113,Brentford,0.2245
114,Brentford,0.7653
115,Brentford,2.0693
116,Brentford,4.2772
117,Brentford,4.3366
118,Brentford,5.2727
119,Brentford,5.6667
120,Brentford,5.8586
